STUDYPROGRAMSYSTEM	ACADYEAR	SEMESTER	COURSECODE	SECTION	NAMEENGLISHABBR	INSTRUCTORS	AVG_GPA
S	2005	2	2101321	1	SOIL MECHS	STAFF	4.00
S	2005	2	2101321	2	SOIL MECHS	STAFF	4.00
S	2005	2	2101321	3	SOIL MECHS	STAFF	4.00
S	2005	1	2101322	1	SOIL MECHS LAB	STAFF	3.20
S	2005	2	2101322	1	SOIL MECHS LAB	STAFF	4.00
S	2005	2	2101322	2	SOIL MECHS LAB	STAFF	4.00
S	2005	2	2101322	3	SOIL MECHS LAB	STAFF	4.00
S	2005	2	2101322	4	SOIL MECHS LAB	STAFF	4.00
S	2005	3	2101332	1	HWY MAT	SNR	4.00
S	2005	1	2101333	1	FUND TRAFFIC ENG	SNR	3.22
S	2005	2	2101334	1	TRANS SYS OPN	STAFF	2.62
S	2005	1	2101350	1	INTRO EE ME ENV	STAFF	2.46
S	2005	2	2101390	1	FUND OF C.E.	STAFF	2.80
S	2005	1	2101403	1	TIMBER & STEEL DES	STAFF	1.91
S	2005	1	2101420	1	APPLIED SOIL MECHS	STAFF	3.23
S	2005	2	2101420	1	APPLIED SOIL MECHS	STAFF	3.40
S	2005	1	2101429	1	HIGHWAY ENG	AIS	2.49
S	2005	1	2101429	2	HIGHWAY ENG	SNR	2.97
S	2005	3	2101429	1	HIGHWAY ENG	SNR	3.08
S	2005	1	2101453	1	CONS COS EST ANAL	STAFF	2.95
S	2005	1	2101453	2	CONS COS EST ANAL	STAFF	2.94
S	2005	2	2101454	1	CONST MANAGEMENT	STAFF	2.57
S	2005	2	2101454	2	CONST MANAGEMENT	STAFF	2.74
S	2005	3	2101454	1	CONST MANAGEMENT	VCC	3.00
S	2005	2	2101461	1	BUILD DESIGN	STAFF	3.30
S	2005	1	2101462	1	PREST CONC DESIGN	STAFF	3.13
S	2005	2	2101464	1	BRIDGE DESIGN	STAFF	4.00
S	2005	1	2101469	1	TRANS ENG	SSS,SCP	3.26
S	2005	1	2101495	1	ADV TOP IN CE I	STAFF	3.50
S	2005	2	2101495	1	ADV TOP IN CE I	STAFF	3.47
S	2005	2	2101499	1	CIVIL ENG PROJECT	STAFF	3.72
S	2005	1	2101512	1	ADV CONC TECH	STAFF	3.75
S	2005	2	2101543	1	PAVEMENT DESIGN I	DLS	3.24
S	2005	1	2101545	1	AIRPORT DESIGN	AIS	3.40
S	2005	2	2101590	1	CONS TECH & PRODUC	STAFF	2.86
S	2005	1	2101601	1	ADV STRUCT THEORY	STAFF	3.00
S	2005	2	2101602	1	BEHAV RC MEMBERS	STAFF	3.56
S	2005	2	2101606	1	DYN AND VIBRATIONS	STAFF	2.70
S	2005	1	2101607	1	ADV MECH OF MATS	STAFF	2.59
S	2005	1	2101610	1	NUM & APP METHODS	STAFF	3.83
S	2005	2	2101611	1	MATR ANA OF STRUC	STAFF	3.50
S	2005	1	2101614	1	BEHAV STEEL STRUCT	STAFF	3.50
S	2005	2	2101615	1	ADV PRES CON STRUC	STAFF	3.83
S	2005	1	2101617	1	STR BUILD COMP	ELS	3.50
S	2005	1	2101617	2	STR BUILD COMP	ELS	3.33
S	2005	2	2101618	1	FIN ELE MET FOR CE	STAFF	3.42
S	2005	1	2101619	1	SEISMIC DES OF STR	STAFF	3.83
S	2005	1	2101620	1	ADV SOIL MECH I	STAFF	3.22
S	2005	1	2101620	2	ADV SOIL MECH I	STAFF	2.50
S	2005	2	2101621	1	FOUNDATION ENG	STAFF	3.23
S	2005	2	2101622	1	EARTH STRUCTURES	STAFF	3.28
S	2005	2	2101628	1	ADV SOIL MECH II	STAFF	3.35
S	2005	1	2101629	1	THEORY SOIL MECH	STAFF	3.50
S	2005	1	2101630	1	PHY MIN PROP SOILS	STAFF	3.25
S	2005	1	2101631	1	GEOMECHANICS	STAFF	4.00
S	2005	1	2101634	1	PLAS IN SOIL MECH	STAFF	4.00
S	2005	1	2101635	1	SOIL DYN EARTH ENG	WTS	4.00
S	2005	1	2101636	1	INT FLD/SOIL TEST	STAFF	3.50
S	2005	1	2101639	1	SPEC ST SOIL ENG	WTS	3.75
S	2005	2	2101640	1	HIGHWAY PLANNING	SCP	3.00
S	2005	2	2101641	1	TRAFFIC ENG	SNR	3.50
S	2005	2	2101642	1	GEO DESIGN OF HWYS	AIS	2.29
S	2005	2	2101644	1	URB TRANS PLANNING	SSS	2.75
S	2005	1	2101645	1	TRAFFIC FLOW THY	SNR	2.80
S	2005	1	2101649	1	PROB FOR C E	DLV	3.45
S	2005	1	2101650	1	TRAN TECH	SSS	3.13
S	2005	1	2101680	1	APPLIED MATH I	STAFF	3.33
S	2005	1	2101690	1	CONST METH & EQUIP	STAFF	3.25
S	2005	1	2101691	1	SPECIAL STUDIES	TTT	4.00
S	2005	1	2101691	2	SPECIAL STUDIES	VCC	4.00
S	2005	2	2101691	1	SPECIAL STUDIES	STAFF	3.90
S	2005	2	2101692	1	ANALYTIC CONS MGMT	AR	3.50
S	2005	2	2101693	1	PROB ANAL CONS IND	STAFF	3.40
S	2005	1	2101694	1	CONTRACT CONS BUS	VCC	3.21
S	2005	1	2101694	2	CONTRACT CONS BUS	VCC	2.79
S	2005	2	2101695	1	COMP APPL CONST	TTT	3.60
S	2005	1	2101696	1	PROJ PLAN/CONT	STAFF	3.31
S	2005	1	2101697	1	INFRA PLAN&MGT	STAFF	3.30
S	2005	2	2101699	2	CONS SYS OPT/SIM	STAFF	3.50
S	2005	1	2101701	1	INFSTRUC	STAFF	2.90
S	2005	2	2101702	1	INFSTRUC OPN/MNTN	STAFF	3.57
S	2005	2	2101707	1	GEOTECH DES CONS	STAFF	3.55
S	2005	1	2101708	1	CE INFSTRUC CONS	TTT,NJK,STAFF	2.64
S	2005	2	2101710	1	INFSTRUC MON/ASSMT	PPS,BST	3.68
S	2005	2	2101712	1	PUB INV/FIN PROJ	SCP	3.50
S	2005	2	2101790	1	SEM IN C E I	STAFF	4.00
S	2005	1	2101791	1	SEM IN C E II	STAFF	4.00
S	2005	2	2101791	1	SEM IN C E II	STAFF	4.00
S	2005	1	2102201	1	ELECT ENG MATH I	MWS	2.77
S	2005	2	2102201	1	ELECT ENG MATH I	SNP	2.52
S	2005	2	2102201	2	ELECT ENG MATH I	MWS	2.99
S	2005	2	2102201	3	ELECT ENG MATH I	WKG	2.65
S	2005	1	2102202	1	ELECT ENG MATH II	NTS	2.88
S	2005	1	2102203	1	PROB STAT ELEC ENG	CAK,STAFF	2.56
S	2005	2	2102203	1	PROB STAT ELEC ENG	DBP	2.66
S	2005	2	2102203	2	PROB STAT ELEC ENG	SAV,STAFF	2.94
S	2005	2	2102203	3	PROB STAT ELEC ENG	CAK	2.65
S	2005	1	2102204	1	MATH EE I	MSS	2.34
S	2005	1	2102204	2	MATH EE I	SNP	2.62
S	2005	1	2102204	3	MATH EE I	MWS	1.97
S	2005	2	2102204	1	MATH EE I	MSS	1.69
S	2005	2	2102205	1	MATH EE II	SAR	2.45
S	2005	2	2102205	2	MATH EE II	MSS	2.55
S	2005	2	2102205	3	MATH EE II	NTS	2.70
S	2005	2	2102207	1	SIGNALS SYSTEMS	WKG	2.78
S	2005	2	2102207	2	SIGNALS SYSTEMS	CCR	2.70
S	2005	2	2102207	3	SIGNALS SYSTEMS	BSC	2.46
S	2005	2	2102208	1	PROP MAT EE	BTP	2.41
S	2005	2	2102208	2	PROP MAT EE	SPY	2.45
S	2005	2	2102208	3	PROP MAT EE	CAT	2.47
S	2005	1	2102210	1	CIRCUIT THEORY I	CAT	2.24
S	2005	1	2102210	2	CIRCUIT THEORY I	CTS,MSY	2.10
S	2005	1	2102210	3	CIRCUIT THEORY I	CCR	1.88
S	2005	2	2102210	1	CIRCUIT THEORY I	MSY,CTS	3.25
S	2005	1	2102211	1	ELEC CIRCUIT LAB	SRT	2.63
S	2005	2	2102211	1	ELEC CIRCUIT LAB	SRT	2.19
S	2005	2	2102211	2	ELEC CIRCUIT LAB	STAFF	2.35
S	2005	2	2102211	3	ELEC CIRCUIT LAB	STAFF	2.55
S	2005	2	2102211	4	ELEC CIRCUIT LAB	STAFF	2.46
S	2005	1	2102220	1	ELECTROMAG WAV I	JPL	.86
S	2005	2	2102220	1	ELECTROMAG WAV I	JPL	2.48
S	2005	2	2102222	1	ENG EMAG	TAK	2.20
S	2005	2	2102222	2	ENG EMAG	STAFF	2.51
S	2005	1	2102250	1	EMECH EGY CONV I	BTA	2.02
S	2005	2	2102250	1	EMECH EGY CONV I	SSV	2.17
S	2005	2	2102252	1	ELEC MACH I	CCC	2.06
S	2005	2	2102252	2	ELEC MACH I	BTA	2.60
S	2005	2	2102252	3	ELEC MACH I	KPR	1.88
S	2005	1	2102282	1	DIGITAL ETRON	WPR	1.98
S	2005	1	2102282	2	DIGITAL ETRON	BSC	2.27
S	2005	1	2102282	3	DIGITAL ETRON	SPR	1.69
S	2005	2	2102282	1	DIGITAL ETRON	WPR	3.11
S	2005	1	2102308	1	PROP ELEC ENG MAT	SPY,SKJ	2.50
S	2005	2	2102308	1	PROP ELEC ENG MAT	BTP	2.70
S	2005	2	2102308	2	PROP ELEC ENG MAT	SPY	2.60
S	2005	2	2102308	3	PROP ELEC ENG MAT	CAT	2.75
S	2005	1	2102310	1	CIRCUIT THEORY II	VJV	2.55
S	2005	1	2102310	2	CIRCUIT THEORY II	NHC	2.59
S	2005	1	2102310	3	CIRCUIT THEORY II	CPP	2.41
S	2005	2	2102310	1	CIRCUIT THEORY II	SAR,CPP	2.64
S	2005	1	2102311	1	ELEC MEAS/INSTRU	SCK	2.86
S	2005	1	2102311	2	ELEC MEAS/INSTRU	ATM	2.56
S	2005	1	2102311	3	ELEC MEAS/INSTRU	MSY	3.01
S	2005	2	2102311	1	ELEC MEAS/INSTRU	ATM,SCK	3.25
S	2005	1	2102320	1	ELECTROMAG WAV II	TAK	2.64
S	2005	1	2102320	2	ELECTROMAG WAV II	JPL	2.74
S	2005	1	2102320	2	ELECTROMAG WAV II	PKP	2.74
S	2005	2	2102320	1	ELECTROMAG WAV II	STAFF	2.57
S	2005	1	2102330	1	FEED CONT SYS	WKG,SAR	2.04
S	2005	2	2102330	1	FEED CONT SYS	SPN	2.44
S	2005	2	2102330	2	FEED CONT SYS	VJV	2.38
S	2005	2	2102330	3	FEED CONT SYS	MWS	2.24
S	2005	1	2102331	1	FEED CONT SYS LAB	DBP,STAFF	2.81
S	2005	1	2102331	2	FEED CONT SYS LAB	STAFF	2.46
S	2005	1	2102331	3	FEED CONT SYS LAB	STAFF	3.15
S	2005	1	2102331	4	FEED CONT SYS LAB	STAFF	3.42
S	2005	2	2102331	1	FEED CONT SYS LAB	MWS,STAFF	3.37
S	2005	1	2102350	1	EMECH EGY CONV II	SSV	2.96
S	2005	1	2102350	2	EMECH EGY CONV II	WRP	2.83
S	2005	2	2102350	1	EMECH EGY CONV II	SSV	2.35
S	2005	1	2102351	1	EM EGY CONV LAB I	SSV	3.23
S	2005	1	2102351	2	EM EGY CONV LAB I	STAFF	3.28
S	2005	1	2102351	3	EM EGY CONV LAB I	STAFF	3.75
S	2005	1	2102351	4	EM EGY CONV LAB I	STAFF	3.38
S	2005	2	2102351	1	EM EGY CONV LAB I	SSV	2.94
S	2005	2	2102351	2	EM EGY CONV LAB I	STAFF	3.14
S	2005	1	2102360	1	ELEC POWER SYS I	SPS,HBM	3.32
S	2005	2	2102360	1	ELEC POWER SYS I	BEA	2.70
S	2005	2	2102360	2	ELEC POWER SYS I	NHC	2.54
S	2005	2	2102360	3	ELEC POWER SYS I	HBM,SPS	2.00
S	2005	1	2102370	1	PRINC COMM	WBK,STAFF	3.75
S	2005	2	2102370	1	PRINC COMM	WBK	3.06
S	2005	2	2102370	2	PRINC COMM	CAK,STAFF	2.83
S	2005	2	2102370	3	PRINC COMM	LWK	2.74
S	2005	1	2102380	1	PHYS ELECTRONICS	BTP	2.36
S	2005	1	2102380	2	PHYS ELECTRONICS	SRT	2.23
S	2005	1	2102380	3	PHYS ELECTRONICS	TCP	2.04
S	2005	2	2102380	1	PHYS ELECTRONICS	SKJ	2.40
S	2005	1	2102382	1	ETRON CIRCUITS	YKT,CSN	1.88
S	2005	2	2102382	1	ETRON CIRCUITS	YKT	2.41
S	2005	2	2102382	2	ETRON CIRCUITS	CSN	2.37
S	2005	2	2102382	3	ETRON CIRCUITS	ELR	2.82
S	2005	1	2102384	1	ETRON LAB	ELR,STAFF	2.19
S	2005	2	2102384	1	ETRON LAB	CSN	3.05
S	2005	2	2102384	2	ETRON LAB	STAFF	3.54
S	2005	2	2102384	3	ETRON LAB	STAFF	3.40
S	2005	1	2102391	1	ELEC ENG I	BTA	3.05
S	2005	1	2102391	2	ELEC ENG I	WRP	2.64
S	2005	1	2102391	3	ELEC ENG I	HBM	2.86
S	2005	1	2102391	4	ELEC ENG I	SPS	2.76
S	2005	1	2102391	5	ELEC ENG I	CBM	2.45
S	2005	2	2102391	1	ELEC ENG I	CBM	2.64
S	2005	2	2102391	2	ELEC ENG I	WRP	2.59
S	2005	2	2102391	3	ELEC ENG I	HBM	2.47
S	2005	2	2102391	4	ELEC ENG I	SPS	2.69
S	2005	2	2102391	5	ELEC ENG I	BTP	2.48
S	2005	1	2102392	1	ELEC ENG LAB I	CBM	3.04
S	2005	1	2102392	2	ELEC ENG LAB I	STAFF	3.14
S	2005	1	2102392	3	ELEC ENG LAB I	STAFF	2.69
S	2005	1	2102392	4	ELEC ENG LAB I	STAFF	2.93
S	2005	2	2102392	1	ELEC ENG LAB I	CBM	3.18
S	2005	2	2102392	2	ELEC ENG LAB I	STAFF	2.72
S	2005	2	2102392	3	ELEC ENG LAB I	STAFF	2.99
S	2005	2	2102392	4	ELEC ENG LAB I	STAFF	2.76
S	2005	2	2102392	5	ELEC ENG LAB I	STAFF	2.64
S	2005	2	2102392	6	ELEC ENG LAB I	STAFF	2.85
S	2005	2	2102420	1	PRINC OF ANTENNAS	CWP	3.78
S	2005	1	2102426	1	TRAF ENG COMM NET	CAK	3.63
S	2005	1	2102427	1	MMEDIA COMPR TECH	SAV	3.75
S	2005	1	2102430	1	CONTROL SYSTEMS II	SPN	2.50
S	2005	1	2102440	1	INTRO MICROPROC	SPR	3.47
S	2005	2	2102451	1	ELECTRIC DRIVES	SSV	3.00
S	2005	1	2102455	1	ILLUM ENG	CCC	3.63
S	2005	1	2102456	1	ELEC SYS DES	SPV	3.17
S	2005	1	2102458	1	HV ENG I	KPR	3.17
S	2005	2	2102459	1	HV ENG LAB I	KPR	3.64
S	2005	1	2102461	1	ELEC POWER SYS II	BEA	3.38
S	2005	2	2102463	1	ELEC POW SYS PROT	CBM	3.08
S	2005	1	2102472	1	TELECOMM ENG	PTP,LWK	3.50
S	2005	1	2102473	1	COMM ENG LAB	PKP,STAFF	4.00
S	2005	1	2102473	2	COMM ENG LAB	STAFF	4.00
S	2005	2	2102473	1	COMM ENG LAB	CAK	4.00
S	2005	2	2102474	1	COMM SYSTEM DESIGN	PTP	3.06
S	2005	1	2102476	1	COMM ELECTRONICS	CCR	4.00
S	2005	1	2102477	1	COMM TRANSMIS	PKP	3.99
S	2005	1	2102479	1	OPTIC FIBER COMM	STAFF	3.92
S	2005	1	2102485	1	ETRON CCT ANALYSIS	ELR,BSC	3.33
S	2005	2	2102487	1	INDUSTRIAL ETRON	KVT	2.95
S	2005	1	2102491	1	ELEC ENG II	TCP	2.11
S	2005	1	2102491	2	ELEC ENG II	CWP	1.90
S	2005	2	2102491	1	ELEC ENG II	TCP	2.14
S	2005	2	2102491	2	ELEC ENG II	CWP	2.45
S	2005	1	2102492	1	ELEC ENG LAB II	TCP	1.79
S	2005	1	2102492	2	ELEC ENG LAB II	STAFF	2.23
S	2005	1	2102492	3	ELEC ENG LAB II	STAFF	2.09
S	2005	1	2102492	4	ELEC ENG LAB II	STAFF	1.94
S	2005	2	2102492	1	ELEC ENG LAB II	TCP	2.53
S	2005	2	2102492	2	ELEC ENG LAB II	STAFF	2.21
S	2005	2	2102495	1	ADV TOP IN EE I	WAS	3.85
S	2005	2	2102496	1	ADV TOP IN EE II	MSW	4.00
S	2005	2	2102499	1	ELEC PROJECT	SAV	3.92
S	2005	2	2102501	1	APP TECH IN ENGIN	JPL	4.00
S	2005	1	2102505	1	INTRO OPT TECH	SAR	3.44
S	2005	1	2102507	1	COMP TECH ENGS	DBP,SAR	3.33
S	2005	2	2102530	1	RAND PROC EE	CPP,DBP	3.30
S	2005	2	2102531	1	SYSTEM IDENT	MWS	3.91
S	2005	1	2102533	1	DIG CONT SYSTEMS	WKG,MWS	3.67
S	2005	2	2102536	1	NONLIN CONT SYS I	VJV	3.83
S	2005	1	2102538	1	SOLID-STATE MOT	SSV	2.94
S	2005	2	2102540	1	MICROCOMPUTER SYS	WPR	3.56
S	2005	1	2102541	1	DIGITAL CIR LAB	KVT	3.50
S	2005	1	2102545	1	DIG IC	ELR,BSC	3.60
S	2005	2	2102546	1	ANALOG IC	ELR	3.55
S	2005	2	2102553	1	FUND EMC	WRP	3.57
S	2005	1	2102554	1	POW SYS HARM	CCC	3.63
S	2005	2	2102557	1	HIGH VOL ENG II	KPR	2.90
S	2005	2	2102570	1	DATA COMMUNICATION	WBK	3.13
S	2005	1	2102572	1	TELECOM TECH MGT	PTP	3.55
S	2005	2	2102575	1	TELEPHONE ENG	WBK	3.33
S	2005	1	2102576	1	DIG SIG PROC	SJP	3.81
S	2005	1	2102577	1	TELECOM NETWORKS	PTP	3.50
S	2005	2	2102578	1	SATELLITE COMM	PTP	3.47
S	2005	1	2102579	1	MOBILE COMM ENG	LWK	3.94
S	2005	1	2102581	1	DIGITAL CIR DESIGN	KVT	2.85
S	2005	2	2102582	1	PHO DEV OP COMM	SRT	4.00
S	2005	1	2102583	1	INTRO QUANTUM MECH	MSS	3.50
S	2005	1	2102584	1	INTRO NANOELEC	SKJ	3.36
S	2005	1	2102586	1	POWER ELECTRONICS	YKT,CSN	2.90
S	2005	1	2102587	1	PHY&TECH SEMI COND	BTP	3.75
S	2005	1	2102588	1	BIOMEDICAL ELEC	CTS	3.79
S	2005	1	2102589	1	LASER ENGIN	SPY	2.92
S	2005	2	2102598	1	SPEC PROB IN EE.	CTS	4.00
S	2005	2	2102598	2	SPEC PROB IN EE.	PKP	3.98
S	2005	2	2102598	3	SPEC PROB IN EE.	SPV	3.58
S	2005	1	2102604	1	ADV ELEC ENG MATH	WKG	2.90
S	2005	1	2102604	2	ADV ELEC ENG MATH	SNP	3.13
S	2005	1	2102604	3	ADV ELEC ENG MATH	WKG,SNP	2.43
S	2005	1	2102607	1	FOU TRAN IN ENG	SJP	3.77
S	2005	2	2102615	1	ADV SWITCHING THY	SJP	3.89
S	2005	1	2102616	1	ADV IND MEAS	SCK	3.17
S	2005	1	2102620	1	ELECTRO THEORY	TAK	3.85
S	2005	2	2102624	1	NUM ELETROMAG	TAK	3.88
S	2005	2	2102631	1	OPTI CONTROL SYS	DBP	3.58
S	2005	1	2102635	1	CONT SYSTEM THEORY	DBP	3.64
S	2005	2	2102640	1	MICRO BAS SYS DES	KVT	3.64
S	2005	1	2102641	1	COMP AID ANAL ELEC	ELR	3.83
S	2005	1	2102644	1	MICRO BAS INSTRU	KVT	3.00
S	2005	2	2102649	1	TOPICS DIG SYS	SPR	3.56
S	2005	1	2102650	1	ELEC TRAN POW SYS	KPR	3.44
S	2005	2	2102651	1	POWER SYS STABILIT	NHC	3.83
S	2005	1	2102652	1	ECON DIS POWER SYS	SPV	3.21
S	2005	1	2102653	1	CMP APP POW SYS ST	SPS,STAFF	3.55
S	2005	2	2102655	1	ADV ILLUM ENGINEER	CCC	3.50
S	2005	1	2102656	1	POWER SYS PROT	CBM	3.50
S	2005	2	2102662	1	SWIT MODE POWER	YKT,CSN	4.00
S	2005	2	2102663	1	SOLAR CELL TECH	SPY	3.90
S	2005	1	2102670	1	STATIS COMMU THEO	WBK	3.75
S	2005	2	2102671	1	INFORMA THEORY COD	SNP,PTP	3.25
S	2005	2	2102673	1	PAT REG & INF RET	CCR	3.23
S	2005	2	2102674	1	OPTICAL COMM	STAFF	3.50
S	2005	2	2102676	1	DIG IMAGE PROC	CPP	3.92
S	2005	1	2102677	1	BROADBAND NET DES	WBK	3.63
S	2005	1	2102681	1	SOLID-STATE PHY	DKG	3.80
S	2005	2	2102687	1	ADV SOL-STATE PHY	DKG	4.00
S	2005	2	2102697	1	SPEC PROB IN E.E	STAFF	3.58
S	2005	2	2102698	1	ADV TOPIC ELEC ENG	CBM	3.18
S	2005	2	2102732	1	CONVEX OPTIM APPL	DBP	3.83
S	2005	2	2102750	1	ENE SYS PLAN RELIA	BEA	3.21
S	2005	2	2102752	1	RELIA EVAL POW SYS	BEA	4.00
S	2005	2	2102753	1	MOD POWER SYS PLAN	BEA	3.50
S	2005	2	2102754	1	EL FLD ANA HV ENG	BTA	4.00
S	2005	2	2102781	1	PHY SPEC SEMI DEV	STAFF	3.60
S	2005	2	2102796	1	ADV TOP E ENG I	SAR	4.00
S	2005	2	2102797	1	ADV TOP E ENG II	NTS	3.06
S	2005	1	2102873	1	TELECOM NETW COMM	STAFF	4.00
S	2005	1	2102874	1	SPEECH PROC	NTS	3.75
S	2005	1	2102875	1	DIG VIDEO PROC	SAV	3.00
S	2005	1	2102876	1	ADAP SIGN PROC	CCR	4.00
S	2005	1	2102877	1	FINITE ELEM EM	STAFF	4.00
S	2005	1	2103105	1	ENG DRAW FUND	STAFF	2.18
S	2005	1	2103105	2	ENG DRAW FUND	STAFF	2.31
S	2005	1	2103105	3	ENG DRAW FUND	STAFF	2.39
S	2005	2	2103105	1	ENG DRAW FUND	SPS	2.57
S	2005	2	2103105	1	ENG DRAW FUND	STAFF	2.57
S	2005	2	2103105	2	ENG DRAW FUND	JKA	2.45
S	2005	2	2103105	2	ENG DRAW FUND	STAFF	2.45
S	2005	2	2103105	3	ENG DRAW FUND	KWC	2.54
S	2005	2	2103105	3	ENG DRAW FUND	STAFF	2.54
S	2005	2	2103203	1	MECH DRAWING	SPS	2.94
S	2005	2	2103203	1	MECH DRAWING	STAFF	2.94
S	2005	1	2103204	1	DES GEOMETRY	STAFF	3.05
S	2005	1	2103204	1	DES GEOMETRY	SWS	3.05
S	2005	1	2103211	1	STATICS	TPP	2.74
S	2005	1	2103211	2	STATICS	KMN	2.69
S	2005	2	2103212	1	DYNAMICS	SWS	2.42
S	2005	2	2103212	2	DYNAMICS	CKK	2.32
S	2005	2	2103212	3	DYNAMICS	SCW	2.28
S	2005	2	2103212	4	DYNAMICS	PLP	1.93
S	2005	1	2103213	1	ENG MECHANICS I	SCW	2.18
S	2005	1	2103213	12	ENG MECHANICS I	BLN	2.03
S	2005	1	2103213	2	ENG MECHANICS I	MTK	2.21
S	2005	1	2103213	3	ENG MECHANICS I	SBK	2.29
S	2005	1	2103213	4	ENG MECHANICS I	STAFF	2.57
S	2005	1	2103213	5	ENG MECHANICS I	PLP	1.82
S	2005	1	2103213	6	ENG MECHANICS I	SWS	2.54
S	2005	1	2103213	7	ENG MECHANICS I	JMP	2.11
S	2005	1	2103213	8	ENG MECHANICS I	PTP	2.38
S	2005	1	2103213	9	ENG MECHANICS I	CHT	2.09
S	2005	2	2103213	1	ENG MECHANICS I	STAFF	2.22
S	2005	2	2103213	2	ENG MECHANICS I	STAFF	3.00
S	2005	2	2103213	3	ENG MECHANICS I	BLN	2.10
S	2005	2	2103213	4	ENG MECHANICS I	MTK	2.44
S	2005	2	2103231	1	MECH OF MAT I	CBJ	2.64
S	2005	2	2103231	2	MECH OF MAT I	SBK	2.56
S	2005	2	2103231	3	MECH OF MAT I	JMP	2.72
S	2005	2	2103231	4	MECH OF MAT I	PSG	2.62
S	2005	2	2103231	5	MECH OF MAT I	TPP	2.97
S	2005	2	2103231	6	MECH OF MAT I	KMN	2.43
S	2005	3	2103231	1	MECH OF MAT I	SBK	2.46
S	2005	1	2103241	1	THERMODYNAMICS I	MTP	2.23
S	2005	1	2103241	2	THERMODYNAMICS I	CTT	2.44
S	2005	1	2103295	1	BASIC THERMO	PCK	2.65
S	2005	1	2103295	2	BASIC THERMO	PSK	2.71
S	2005	1	2103295	3	BASIC THERMO	CKK	2.69
S	2005	2	2103295	1	BASIC THERMO	PCK	2.35
S	2005	2	2103295	2	BASIC THERMO	MTP	2.06
S	2005	2	2103295	3	BASIC THERMO	CTT	2.89
S	2005	2	2103303	1	NUM MTHD MECH ENG	PDP,RCR,NWP	2.96
S	2005	2	2103304	1	AUTO CONTROL I	VSB	2.75
S	2005	1	2103313	1	MECH SYS DESIGN I	CBJ,DML	2.53
S	2005	2	2103314	1	MECH SYS DESIGN II	CBJ	3.27
S	2005	2	2103314	2	MECH SYS DESIGN II	KBK	3.44
S	2005	2	2103314	3	MECH SYS DESIGN II	WWS	2.64
S	2005	1	2103321	1	MECH OF MACHIN	STAFF	2.00
S	2005	1	2103322	1	MECH MACHINERY	CKK	2.20
S	2005	1	2103322	2	MECH MACHINERY	RCR	2.46
S	2005	2	2103332	1	SHIPBUILDING ENG	CVP	2.81
S	2005	1	2103335	1	VEH STRUC ANAL I	STAFF	3.33
S	2005	2	2103342	1	THERMODYNAMICS II	RCK,CTT	2.76
S	2005	2	2103351	1	FLUID MECHANICS I	SCP	2.39
S	2005	2	2103351	2	FLUID MECHANICS I	ABJ	2.42
S	2005	2	2103351	3	FLUID MECHANICS I	PLP	2.25
S	2005	2	2103351	4	FLUID MECHANICS I	PSK	2.45
S	2005	2	2103352	1	SHIP BUOY & STAB	TMW	3.31
